코드,일정,구분,크루즈,종류,금액,시작일자,끝일자,비고,별도요금
R0001,1박2일,성인,그랜드 파이어니스,오션발코니 스위트,"3,750,000",2025-05-01,2025-08-29,베트남동,
R0002,1박2일,성인,그랜드 파이어니스,오션발코니 스위트,"3,900,000",2025-05-01,2025-08-29,신용카드,
R0003,1박2일,성인,그랜드 파이어니스,오션스위트룸,"4,700,000",2025-05-01,2025-08-29,베트남동,
R0004,1박2일,성인,그랜드 파이어니스,오션스위트 트리플룸,"4,700,000",2025-05-01,2025-08-29,베트남동,
R0005,1박2일,성인,그랜드 파이어니스,오션스위트룸,"4,900,000",2025-05-01,2025-08-29,신용카드,
R0006,1박2일,성인,그랜드 파이어니스,오션스위트 트리플룸,"4,900,000",2025-05-01,2025-08-29,신용카드,
R0007,1박2일,성인,그랜드 파이어니스,베란다 스위트,"5,500,000",2025-05-01,2025-08-29,베트남동,
R0008,1박2일,성인,그랜드 파이어니스,베란다 스위트,"5,700,000",2025-05-01,2025-08-29,신용카드,
R0009,1박2일,성인,그랜드 파이어니스,이그제큐티브 스위트,"6,300,000",2025-05-01,2025-08-29,베트남동,
R0010,1박2일,성인,그랜드 파이어니스,이그제큐티브 스위트,"6,600,000",2025-05-01,2025-08-29,신용카드,
R0011,1박2일,성인,그랜드 파이어니스,더 에센스 스위트,"8,100,000",2025-05-01,2025-08-29,베트남동,
R0012,1박2일,성인,그랜드 파이어니스,더 에센스 스위트,"8,500,000",2025-05-01,2025-08-29,신용카드,
R0013,1박2일,성인,그랜드 파이어니스,더 오너스 스위트 (4인),"12,500,000",2025-05-01,2025-08-29,베트남동,
R0014,1박2일,성인,그랜드 파이어니스,더 오셔니아 스위트,"13,200,000",2025-05-01,2025-08-29,베트남동,
R0015,1박2일,성인,그랜드 파이어니스,더 오너스 스위트 (4인),"13,300,000",2025-05-01,2025-08-29,신용카드,
R0016,1박2일,성인,그랜드 파이어니스,더 오셔니아 스위트,"13,800,000",2025-05-01,2025-08-29,신용카드,
R0017,1박2일,성인,그랜드 파이어니스,더 오너스 스위트 (3인),"15,500,000",2025-05-01,2025-08-29,신용카드,
R0018,1박2일,성인,그랜드 파이어니스,더 오너스 스위트 (2인),"20,150,000",2025-05-01,2025-08-29,베트남동,
R0019,1박2일,성인,그랜드 파이어니스,더 오너스 스위트 (2인),"20,800,000",2025-05-01,2025-08-29,신용카드,
R0020,1박2일,싱글차지,그랜드 파이어니스,오션스위트룸,"6,900,000",2025-05-01,2025-08-29,베트남동,
R0021,1박2일,싱글차지,그랜드 파이어니스,오션발코니 스위트,"6,900,000",2025-05-01,2025-08-29,베트남동,
R0022,1박2일,싱글차지,그랜드 파이어니스,오션스위트룸,"7,400,000",2025-05-01,2025-08-29,신용카드,
R0023,1박2일,싱글차지,그랜드 파이어니스,오션발코니 스위트,"7,400,000",2025-05-01,2025-08-29,신용카드,
R0024,1박2일,싱글차지,그랜드 파이어니스,베란다 스위트,"8,100,000",2025-05-01,2025-08-29,베트남동,
R0025,1박2일,싱글차지,그랜드 파이어니스,베란다 스위트,"8,600,000",2025-05-01,2025-08-29,신용카드,
R0026,1박2일,싱글차지,그랜드 파이어니스,이그제큐티브 스위트,"8,900,000",2025-05-01,2025-08-29,베트남동,
R0027,1박2일,싱글차지,그랜드 파이어니스,이그제큐티브 스위트,"9,400,000",2025-05-01,2025-08-29,신용카드,
R0028,1박2일,싱글차지,그랜드 파이어니스,더 에센스 스위트,"12,000,000",2025-05-01,2025-08-29,베트남동,
R0029,1박2일,싱글차지,그랜드 파이어니스,더 에센스 스위트,"12,600,000",2025-05-01,2025-08-29,신용카드,
R0030,1박2일,싱글차지,그랜드 파이어니스,더 오셔니아 스위트,"20,000,000",2025-05-01,2025-08-29,베트남동,
R0031,1박2일,싱글차지,그랜드 파이어니스,더 오셔니아 스위트,"20,500,000",2025-05-01,2025-08-29,신용카드,
R0032,1박2일,싱글차지,그랜드 파이어니스,오션스위트 트리플룸,불가,2025-05-01,2025-08-29,신용카드,
R0033,1박2일,싱글차지,그랜드 파이어니스,더 오너스 스위트 (2인),불가,2025-05-01,2025-08-29,신용카드,
R0034,1박2일,싱글차지,그랜드 파이어니스,더 오너스 스위트 (3인),불가,2025-05-01,2025-08-29,신용카드,
R0035,1박2일,싱글차지,그랜드 파이어니스,더 오너스 스위트 (4인),불가,2025-05-01,2025-08-29,신용카드,
R0036,1박2일,싱글차지,그랜드 파이어니스,오션스위트 트리플룸,불가,2025-05-01,2025-08-29,베트남동,
R0037,1박2일,싱글차지,그랜드 파이어니스,더 오너스 스위트 (2인),불가,2025-05-01,2025-08-29,베트남동,
R0038,1박2일,싱글차지,그랜드 파이어니스,더 오너스 스위트 (4인),불가,2025-05-01,2025-08-29,베트남동,
R0039,1박2일,아동,그랜드 파이어니스,오션스위트룸,"2,700,000",2025-05-01,2025-08-29,베트남동,
R0040,1박2일,아동,그랜드 파이어니스,오션스위트 트리플룸,"2,700,000",2025-05-01,2025-08-29,베트남동,
R0041,1박2일,아동,그랜드 파이어니스,오션발코니 스위트,"2,700,000",2025-05-01,2025-08-29,베트남동,
R0042,1박2일,아동,그랜드 파이어니스,베란다 스위트,"2,700,000",2025-05-01,2025-08-29,베트남동,
R0043,1박2일,아동,그랜드 파이어니스,이그제큐티브 스위트,"2,700,000",2025-05-01,2025-08-29,베트남동,
R0044,1박2일,아동,그랜드 파이어니스,더 에센스 스위트,"2,700,000",2025-05-01,2025-08-29,베트남동,
R0045,1박2일,아동,그랜드 파이어니스,더 오셔니아 스위트,"2,700,000",2025-05-01,2025-08-29,베트남동,
R0046,1박2일,아동,그랜드 파이어니스,오션스위트룸,"2,800,000",2025-05-01,2025-08-29,신용카드,
R0047,1박2일,아동,그랜드 파이어니스,오션스위트 트리플룸,"2,800,000",2025-05-01,2025-08-29,신용카드,
R0048,1박2일,아동,그랜드 파이어니스,오션발코니 스위트,"2,800,000",2025-05-01,2025-08-29,신용카드,
R0049,1박2일,아동,그랜드 파이어니스,베란다 스위트,"2,800,000",2025-05-01,2025-08-29,신용카드,
R0050,1박2일,아동,그랜드 파이어니스,이그제큐티브 스위트,"2,800,000",2025-05-01,2025-08-29,신용카드,
R0051,1박2일,아동,그랜드 파이어니스,더 에센스 스위트,"2,800,000",2025-05-01,2025-08-29,신용카드,
R0052,1박2일,아동,그랜드 파이어니스,더 오셔니아 스위트,"2,800,000",2025-05-01,2025-08-29,신용카드,
R0053,1박2일,아동,그랜드 파이어니스,더 오너스 스위트 (4인),"12,500,000",2025-05-01,2025-08-29,베트남동,
R0054,1박2일,아동,그랜드 파이어니스,더 오너스 스위트 (4인),"13,300,000",2025-05-01,2025-08-29,신용카드,
R0055,1박2일,아동,그랜드 파이어니스,더 오너스 스위트 (3인),"15,500,000",2025-05-01,2025-08-29,신용카드,
R0056,1박2일,아동,그랜드 파이어니스,더 오너스 스위트 (2인),"20,150,000",2025-05-01,2025-08-29,베트남동,
R0057,1박2일,아동,그랜드 파이어니스,더 오너스 스위트 (2인),"20,800,000",2025-05-01,2025-08-29,신용카드,
R0058,1박2일,엑스트라,그랜드 파이어니스,오션스위트룸,"3,750,000",2025-05-01,2025-08-29,베트남동,
R0059,1박2일,엑스트라,그랜드 파이어니스,오션발코니 스위트,"3,750,000",2025-05-01,2025-08-29,베트남동,
R0060,1박2일,엑스트라,그랜드 파이어니스,오션스위트룸,"3,900,000",2025-05-01,2025-08-29,신용카드,
R0061,1박2일,엑스트라,그랜드 파이어니스,오션발코니 스위트,"3,900,000",2025-05-01,2025-08-29,신용카드,
R0062,1박2일,엑스트라,그랜드 파이어니스,베란다 스위트,"4,350,000",2025-05-01,2025-08-29,베트남동,
R0063,1박2일,엑스트라,그랜드 파이어니스,베란다 스위트,"4,800,000",2025-05-01,2025-08-29,신용카드,
R0064,1박2일,엑스트라,그랜드 파이어니스,이그제큐티브 스위트,"5,000,000",2025-05-01,2025-08-29,베트남동,
R0065,1박2일,엑스트라,그랜드 파이어니스,이그제큐티브 스위트,"5,400,000",2025-05-01,2025-08-29,신용카드,
R0066,1박2일,엑스트라,그랜드 파이어니스,더 오셔니아 스위트,"10,650,000",2025-05-01,2025-08-29,베트남동,
R0067,1박2일,엑스트라,그랜드 파이어니스,더 오셔니아 스위트,"11,200,000",2025-05-01,2025-08-29,신용카드,
R0068,1박2일,엑스트라,그랜드 파이어니스,오션스위트 트리플룸,불가,2025-05-01,2025-08-29,신용카드,
R0069,1박2일,엑스트라,그랜드 파이어니스,더 에센스 스위트,불가,2025-05-01,2025-08-29,신용카드,
R0070,1박2일,엑스트라,그랜드 파이어니스,더 오너스 스위트 (2인),불가,2025-05-01,2025-08-29,신용카드,
R0071,1박2일,엑스트라,그랜드 파이어니스,더 오너스 스위트 (3인),불가,2025-05-01,2025-08-29,신용카드,
R0072,1박2일,엑스트라,그랜드 파이어니스,더 오너스 스위트 (4인),불가,2025-05-01,2025-08-29,신용카드,
R0073,1박2일,엑스트라,그랜드 파이어니스,오션스위트 트리플룸,불가,2025-05-01,2025-08-29,베트남동,
R0074,1박2일,엑스트라,그랜드 파이어니스,더 에센스 스위트,불가,2025-05-01,2025-08-29,베트남동,
R0075,1박2일,엑스트라,그랜드 파이어니스,더 오너스 스위트 (2인),불가,2025-05-01,2025-08-29,베트남동,
R0076,1박2일,엑스트라,그랜드 파이어니스,더 오너스 스위트 (4인),불가,2025-05-01,2025-08-29,베트남동,
R0077,2박3일,성인,그랜드 파이어니스,오션스위트,"10,700,000",2025-05-01,2025-08-29,베트남동,
R0078,2박3일,성인,그랜드 파이어니스,오션발코니 스위트,"10,700,000",2025-05-01,2025-08-29,베트남동,
R0079,2박3일,성인,그랜드 파이어니스,오션스위트 트리플,"10,900,000",2025-05-01,2025-08-29,베트남동,
R0080,2박3일,성인,그랜드 파이어니스,오션스위트,"11,200,000",2025-05-01,2025-08-29,일반요금,
R0081,2박3일,성인,그랜드 파이어니스,오션발코니 스위트,"11,200,000",2025-05-01,2025-08-29,일반요금,
R0082,2박3일,성인,그랜드 파이어니스,오션스위트 트리플,"11,400,000",2025-05-01,2025-08-29,일반요금,
R0083,2박3일,성인,그랜드 파이어니스,베란다 스위트,"12,650,000",2025-05-01,2025-08-29,베트남동,
R0084,2박3일,성인,그랜드 파이어니스,베란다 스위트,"13,200,000",2025-05-01,2025-08-29,일반요금,
R0085,2박3일,성인,그랜드 파이어니스,이그제큐티브 스위트,"13,900,000",2025-05-01,2025-08-29,베트남동,
R0086,2박3일,성인,그랜드 파이어니스,이그제큐티브 스위트,"14,500,000",2025-05-01,2025-08-29,일반요금,
R0087,2박3일,성인,그랜드 파이어니스,더 에센스 스위트,"19,300,000",2025-05-01,2025-08-29,베트남동,
R0088,2박3일,성인,그랜드 파이어니스,더 에센스 스위트,"19,850,000",2025-05-01,2025-08-29,일반요금,
R0089,2박3일,성인,그랜드 파이어니스,펄 스위트,"21,300,000",2025-05-01,2025-08-29,베트남동,
